Date,AAPL,AMZN,GOOG,HD,IBM,MCD,MMM,NFLX,NVDA,PSX,TSLA,TXN
2015-06-11,121.324005,432.97000099999997,534.6099849999999,103.795502,147.585571,87.254074,147.199219,95.094284,21.202164,71.345894,251.41000400000001,49.423225
2015-06-12,119.98423799999999,429.920013,532.330017,103.151955,146.020386,86.770317,145.523346,94.418571,20.625694,70.42085300000001,250.690002,48.842746999999996
2015-06-15,119.74836699999999,423.670013,527.200012,102.6017,145.38201899999999,86.07659100000001,143.525192,93.431427,20.586613,70.810829,250.38000499999998,48.879601
2015-06-16,120.38993799999999,427.26000999999997,528.150024,102.806885,145.889175,86.3778,144.0961,95.272858,20.840647,71.091949,253.11999500000002,48.916458
2015-06-17,120.106895,427.80999800000006,529.26001,103.03070799999999,146.177765,86.916351,144.519669,94.271431,21.084909,71.500046,260.410004,49.100727
2015-06-18,120.65412099999999,439.39001500000006,536.72998,104.317764,147.122131,87.783501,146.978241,94.742859,21.436657,72.579269,261.890015,49.957626
2015-06-19,119.44644199999999,434.920013,536.6900019999999,104.85871100000001,146.020386,87.701355,146.361298,93.871429,21.368259,72.252785,262.51001,50.224831
2015-06-22,120.399376,436.290009,538.1900019999999,105.45562,146.667404,88.422462,147.03346299999998,96.414284,21.280325,72.189308,259.790009,51.137001
2015-06-23,119.85215,445.98999000000003,540.47998,105.55823500000001,147.44563300000002,88.705437,147.180801,97.312859,20.73317,72.83318299999999,267.670013,50.519672
2015-06-24,120.871132,440.839996,537.840027,104.78411899999999,146.002838,88.21254,145.062958,96.944283,20.52799,71.817482,265.170013,49.745712
2015-06-25,120.295593,440.10000599999995,535.22998,104.681526,145.224594,87.436653,143.57124299999998,94.891426,20.684317,71.54541,268.790009,49.570637
2015-06-26,119.587975,438.10000599999995,531.6900019999999,105.01728100000001,144.68251,88.805832,144.64858999999998,93.08856999999999,20.264185,72.20744300000001,267.089996,48.74139
2015-06-29,117.49342299999999,429.85998499999994,521.52002,103.096008,142.50517299999998,87.117172,141.757248,92.23143,19.658407,71.182648,262.019989,47.469883
2015-06-30,118.34256,434.089996,520.51001,103.64627800000001,142.2341,86.779434,142.079575,93.84857199999999,19.648638000000002,73.059929,268.26001,47.460654999999996
2015-07-01,119.44644199999999,437.39001500000006,521.840027,104.522972,143.834305,87.409256,143.322632,93.635712,19.931984,73.731049,269.149994,47.829215999999995
2015-07-02,119.29548600000001,437.709991,523.400024,103.982025,144.358932,87.783501,143.07402,94.044289,19.951523,73.867073,280.019989,47.884495
2015-07-06,118.880356,436.040009,522.8599849999999,103.823463,144.044144,87.308853,142.79776,94.571426,19.70726,73.948708,279.72000099999997,47.350097999999996
2015-07-07,118.587868,436.72000099999997,525.02002,104.83073399999999,144.280258,88.249031,143.120056,94.091431,19.335976000000002,74.683266,267.880005,47.184246
